,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
44,44,2262,-5,7.868996576,0.423019571,a,2,0.382729867,2.39790633,20.64201386,2.262,-0.13590633,-0.242224428
45,45,2296,-5,6.949782535,0.528341257,a,2,0.382729867,2.39790633,20.64201386,2.296,-0.10190633,-0.242224428
46,46,2488,19.47491084,6.153130366,0.525366874,a,2,0.382729867,2.39790633,20.64201386,2.488,0.09009367,0.943459828
47,47,2384,32.0425691,6.985741645,0.438242015,a,2,0.382729867,2.39790633,20.64201386,2.384,-0.01390633,1.552298594
48,48,2475,18.54997367,8.459672672,0.415713875,a,2,0.382729867,2.39790633,20.64201386,2.475,0.07709367,0.898651352
49,49,2477,20.90088983,9.020244949,0.598144244,a,2,0.382729867,2.39790633,20.64201386,2.477,0.07909367,1.012541217
50,50,2376,28.25181082,9.645542048,0.576970742,a,2,0.382729867,2.39790633,20.64201386,2.376,-0.02190633,1.368655743
51,51,2471,11.00810623,10.57585549,0.294937059,a,2,0.382729867,2.39790633,20.64201386,2.471,0.07309367,0.533286447
52,52,2276,-5,10.59643886,0.290370724,a,2,0.382729867,2.39790633,20.64201386,2.276,-0.12190633,-0.242224428
53,53,2429,17.33095044,9.887509817,0.258593556,a,2,0.382729867,2.39790633,20.64201386,2.429,0.03109367,0.839595911
54,54,2321,41.68193236,10.21113767,0.373103022,a,2,0.382729867,2.39790633,20.64201386,2.321,-0.07690633,2.019276445
55,55,2551,16.28813038,11.52242078,0.761655924,a,2,0.382729867,2.39790633,20.64201386,2.551,0.15309367,0.789076613
56,56,2233,-5,11.71304917,0.356050822,a,2,0.382729867,2.39790633,20.64201386,2.233,-0.16490633,-0.242224428
57,57,2412,28.53438265,11.07023958,0.352990388,a,2,0.382729867,2.39790633,20.64201386,2.412,0.01409367,1.382344903
58,58,2478,20.7226824,11.7170597,0.552697192,a,2,0.382729867,2.39790633,20.64201386,2.478,0.08009367,1.003907978
59,59,2387,24.70018909,12.03868908,0.698856869,a,2,0.382729867,2.39790633,20.64201386,2.387,-0.01090633,1.196597835
60,60,2462,22.02903563,12.47529253,0.610470732,a,2,0.382729867,2.39790633,20.64201386,2.462,0.06409367,1.067194111
61,61,2267,-5,NA,0.235693879,a,3,0.382729867,2.39790633,20.64201386,2.267,-0.13090633,-0.242224428
62,62,2449,21.08565665,-5,0.366608223,a,3,0.382729867,2.39790633,20.64201386,2.449,0.05109367,1.021492224
63,63,2461,22.21629084,8.042828326,0.501264265,a,3,0.382729867,2.39790633,20.64201386,2.461,0.06309367,1.076265668
64,64,2336,32.00555307,12.76731583,0.522051876,a,3,0.382729867,2.39790633,20.64201386,2.336,-0.06190633,1.550505357
65,65,2412,27.77439679,17.57687514,0.486693174,a,3,0.382729867,2.39790633,20.64201386,2.412,0.01409367,1.345527475
66,66,2396,28.2136185,19.61637947,0.533262823,a,3,0.382729867,2.39790633,20.64201386,2.396,-0.00190633,1.366805521
67,67,2482,20.48053164,21.04925264,0.588002604,a,3,0.382729867,2.39790633,20.64201386,2.482,0.08409367,0.992177012
68,68,2330,28.1539457,20.96800679,0.62738585,a,3,0.382729867,2.39790633,20.64201386,2.33,-0.06790633,1.363914679
69,69,2160,-5,21.86624915,0.53152172,a,3,0.382729867,2.39790633,20.64201386,2.16,-0.23790633,-0.242224428
70,70,2375,29.81911276,18.88111036,0.528655337,a,3,0.382729867,2.39790633,20.64201386,2.375,-0.02290633,1.444583506
71,71,NA,NA,NA,NA,a,3,NA,NA,NA,NA,NA,NA
72,72,2499,15.64534159,17.70446418,0.431345923,a,3,0.382729867,2.39790633,20.64201386,2.499,0.10109367,0.757936783
73,73,2434,25.39807212,17.53287063,0.460037516,a,3,0.382729867,2.39790633,20.64201386,2.434,0.03609367,1.230406698
74,74,2392,28.36904605,18.13788613,0.53862417,a,3,0.382729867,2.39790633,20.64201386,2.392,-0.00590633,1.37433519
75,75,2445,23.91295273,18.86868327,0.456479273,a,3,0.382729867,2.39790633,20.64201386,2.445,0.04709367,1.158460259
76,76,2411,28.57426629,19.2049679,0.44165454,a,3,0.382729867,2.39790633,20.64201386,2.411,0.01309367,1.384277062
77,77,2497,16.99210155,19.79054905,0.460363549,a,3,0.382729867,2.39790633,20.64201386,2.497,0.09909367,0.823180416
78,78,2307,28.72709455,19.62593449,0.617592273,a,3,0.382729867,2.39790633,20.64201386,2.307,-0.09090633,1.391680809
