,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
44,44,2068,12.99900164,21.17858057,0.467160475,a,2,0.467684707,2.176807781,17.75200353,2.068,-0.108807781,0.732255467
45,45,2054,14.79337703,20.59432493,0.576695665,a,2,0.467684707,2.176807781,17.75200353,2.054,-0.122807781,0.833335629
46,46,2212,27.63590135,20.20759507,0.575719984,a,2,0.467684707,2.176807781,17.75200353,2.212,0.035192219,1.556776468
47,47,2301,-5,20.67186421,0.543987728,a,2,0.467684707,2.176807781,17.75200353,2.301,0.124192219,-0.281658349
48,48,2292,31.72940201,19.16175455,0.540861001,a,2,0.467684707,2.176807781,17.75200353,2.292,0.115192219,1.787370195
49,49,2188,26.80968117,19.85995719,0.539525046,a,2,0.467684707,2.176807781,17.75200353,2.188,0.011192219,1.510234105
50,50,2308,-5,20.22573214,0.546123695,a,2,0.467684707,2.176807781,17.75200353,2.308,0.131192219,-0.281658349
51,51,2311,-5,18.96444553,0.545655055,a,2,0.467684707,2.176807781,17.75200353,2.311,0.134192219,-0.281658349
52,52,2013,10.68331946,17.82328146,0.550636826,a,2,0.467684707,2.176807781,17.75200353,2.013,-0.163807781,0.601809224
53,53,2090,17.48071254,17.49873773,0.542611518,a,2,0.467684707,2.176807781,17.75200353,2.09,-0.086807781,0.984717726
54,54,2142,22.59230855,17.49795403,0.558599315,a,2,0.467684707,2.176807781,17.75200353,2.142,-0.034807781,1.272662464
55,55,1931,5.438958314,17.7102188,0.555642335,a,2,0.467684707,2.176807781,17.75200353,1.931,-0.245807781,0.306385603
56,56,2170,25.28843178,17.21936838,0.537331729,a,2,0.467684707,2.176807781,17.75200353,2.17,-0.006807781,1.424539587
57,57,2184,26.40726928,17.52971697,0.543523703,a,2,0.467684707,2.176807781,17.75200353,2.184,0.007192219,1.487565572
58,58,2452,-5,17.8585152,0.524561799,a,2,0.467684707,2.176807781,17.75200353,2.452,0.275192219,-0.281658349
59,59,2220,28.8475352,17.04213966,0.5496419,a,2,0.467684707,2.176807781,17.75200353,2.22,0.043192219,1.625029826
60,60,2020,12.25552712,17.44922227,0.588002604,a,2,0.467684707,2.176807781,17.75200353,2.02,-0.156807781,0.690374306
61,61,1932,7.071928663,NA,0.61219717,a,3,0.467684707,2.176807781,17.75200353,1.932,-0.244807781,0.39837355
62,62,2150,22.31626111,7.071928663,0.668289419,a,3,0.467684707,2.176807781,17.75200353,2.15,-0.026807781,1.257112251
63,63,2106,19.6028716,14.69409489,0.64454604,a,3,0.467684707,2.176807781,17.75200353,2.106,-0.070807781,1.104262489
