,X,latency,values.getpoints,values.rad,id,block,optimalt,optimalp,time,timesensitivity,indexp
1,1,2476,19.10873711,0.873709534,a,1,2.487476409,15.88766031,2.476,-0.011476409,1.20274079
2,2,2534,17.001876,0.885066816,a,1,2.487476409,15.88766031,2.534,0.046523591,1.070130886
3,3,2291,-5,0.870299957,a,1,2.487476409,15.88766031,2.291,-0.196476409,-0.314709649
4,4,2297,-5,0.879361484,a,1,2.487476409,15.88766031,2.297,-0.190476409,-0.314709649
5,5,2314,22.22807111,0.87235779,a,1,2.487476409,15.88766031,2.314,-0.173476409,1.399077692
6,6,2295,-5,0.865744305,a,1,2.487476409,15.88766031,2.295,-0.192476409,-0.314709649
7,7,2367,21.76419306,0.883672117,a,1,2.487476409,15.88766031,2.367,-0.120476409,1.369880312
8,8,2323,22.19173792,0.869469195,a,1,2.487476409,15.88766031,2.323,-0.164476409,1.39679081
9,9,2368,21.74976377,0.881519764,a,1,2.487476409,15.88766031,2.368,-0.119476409,1.368972104
10,10,2414,20.87337629,0.876058051,a,1,2.487476409,15.88766031,2.414,-0.073476409,1.313810585
11,11,2409,20.98802528,0.87737096,a,1,2.487476409,15.88766031,2.409,-0.078476409,1.321026814
12,12,2301,22.24937491,0.88451977,a,1,2.487476409,15.88766031,2.301,-0.186476409,1.400418594
13,13,2421,20.70537304,0.87507525,a,1,2.487476409,15.88766031,2.421,-0.066476409,1.303236136
14,14,2388,21.41893916,0.889729995,a,1,2.487476409,15.88766031,2.388,-0.099476409,1.348149365
15,15,2240,-5,0.875180473,a,1,2.487476409,15.88766031,2.24,-0.247476409,-0.314709649
16,16,2428,20.52883629,0.881149656,a,1,2.487476409,15.88766031,2.428,-0.059476409,1.292124573
17,17,2370,21.72029364,0.876058051,a,1,2.487476409,15.88766031,2.37,-0.117476409,1.367117198
18,18,2297,-5,0.86931279,a,1,2.487476409,15.88766031,2.297,-0.190476409,-0.314709649
19,19,2387,21.4373611,0.878297689,a,1,2.487476409,15.88766031,2.387,-0.100476409,1.349308878
20,20,2327,22.16994473,0.890564287,a,1,2.487476409,15.88766031,2.327,-0.160476409,1.395419105
21,21,2524,17.38875037,0.866003085,a,1,2.487476409,15.88766031,2.524,0.036523591,1.094481505
22,22,2480,18.97552721,0.877527917,a,1,2.487476409,15.88766031,2.48,-0.007476409,1.194356302
23,23,2483,18.87428229,0.875578434,a,1,2.487476409,15.88766031,2.483,-0.004476409,1.187983751
24,24,2960,2.617929719,0.866452684,a,1,2.487476409,15.88766031,2.96,0.472523591,0.164777549
25,25,2451,19.89177435,0.885834275,a,1,2.487476409,15.88766031,2.451,-0.036476409,1.252026665
26,26,2239,-5,0.896055385,a,1,2.487476409,15.88766031,2.239,-0.248476409,-0.314709649
27,27,2250,-5,0.877527917,a,1,2.487476409,15.88766031,2.25,-0.237476409,-0.314709649
28,28,2526,17.31203828,0.879966189,a,1,2.487476409,15.88766031,2.526,0.038523591,1.089653098
29,29,2420,20.72990148,0.881690352,a,1,2.487476409,15.88766031,2.42,-0.067476409,1.304780004
30,30,2502,18.20806254,0.878223721,a,1,2.487476409,15.88766031,2.502,0.014523591,1.146050594
31,31,2504,18.13557447,0.87377495,a,2,2.487476409,15.88766031,2.504,0.016523591,1.141488055
32,32,2358,21.88481004,0.874169479,a,2,2.487476409,15.88766031,2.358,-0.129476409,1.377472177
33,33,2145,-5,0.883125071,a,2,2.487476409,15.88766031,2.145,-0.342476409,-0.314709649
34,34,2234,-5,0.879966189,a,2,2.487476409,15.88766031,2.234,-0.253476409,-0.314709649
35,35,2467,19.40073424,0.864182124,a,2,2.487476409,15.88766031,2.467,-0.020476409,1.221119653
36,36,2340,22.0752847,0.878089536,a,2,2.487476409,15.88766031,2.34,-0.147476409,1.38946102
37,37,2471,19.27230435,0.870351352,a,2,2.487476409,15.88766031,2.471,-0.016476409,1.213036028
38,38,2396,21.26460958,0.868330932,a,2,2.487476409,15.88766031,2.396,-0.091476409,1.338435564
39,39,2439,20.23476564,0.86985288,a,2,2.487476409,15.88766031,2.439,-0.048476409,1.273615199
40,40,2366,21.77841794,0.886975731,a,2,2.487476409,15.88766031,2.366,-0.121476409,1.370775653
41,41,2500,18.28012191,0.89223618,a,2,2.487476409,15.88766031,2.5,0.012523591,1.15058615
42,42,2256,-5,0.878611671,a,2,2.487476409,15.88766031,2.256,-0.231476409,-0.314709649
43,43,2385,21.47361957,0.880715679,a,2,2.487476409,15.88766031,2.385,-0.102476409,1.351591056
44,44,2490,18.633731,0.8832281,a,2,2.487476409,15.88766031,2.49,0.002523591,1.172842989
45,45,2538,16.84491237,0.878534519,a,2,2.487476409,15.88766031,2.538,0.050523591,1.060251292
46,46,2445,20.06608549,0.864683665,a,2,2.487476409,15.88766031,2.445,-0.042476409,1.262998144
47,47,2466,19.43249789,0.875514868,a,2,2.487476409,15.88766031,2.466,-0.021476409,1.223118918
48,48,2283,-5,0.853862419,a,2,2.487476409,15.88766031,2.283,-0.204476409,-0.314709649
49,49,2497,18.38739103,0.870419976,a,2,2.487476409,15.88766031,2.497,0.009523591,1.157337876
50,50,2303,22.24850051,0.876589965,a,2,2.487476409,15.88766031,2.303,-0.184476409,1.400363557
51,51,2473,19.20727625,0.88076021,a,2,2.487476409,15.88766031,2.473,-0.014476409,1.208943033
52,52,2489,18.66845711,0.879139705,a,2,2.487476409,15.88766031,2.489,0.001523591,1.175028717
53,53,2476,19.10873711,0.874169479,a,2,2.487476409,15.88766031,2.476,-0.011476409,1.20274079
