,X,latency,values.getpoints,values.rad,id,block,optimalt,optimalp,time,timesensitivity,indexp
54,54,2481,16.07632532,1.227554711,a,2,2.480030549,15.32124181,2.481,0.000969451,1.049283441
55,55,2500,15.79496441,1.237141573,a,2,2.480030549,15.32124181,2.5,0.019969451,1.030919334
56,56,2477,16.13257439,1.230748568,a,2,2.480030549,15.32124181,2.477,-0.003030549,1.052954753
57,57,2388,17.08782612,1.220425751,a,2,2.480030549,15.32124181,2.388,-0.092030549,1.115302946
58,58,2438,16.62328849,1.228215452,a,2,2.480030549,15.32124181,2.438,-0.042030549,1.084983104
59,59,2313,17.40647653,1.23396071,a,2,2.480030549,15.32124181,2.313,-0.167030549,1.136100895
60,60,2502,15.76402046,1.242743335,a,2,2.480030549,15.32124181,2.502,0.021969451,1.028899658
61,61,2374,17.18261523,1.223658241,a,3,2.480030549,15.32124181,2.374,-0.106030549,1.121489723
62,62,2485,16.01902204,1.221689415,a,3,2.480030549,15.32124181,2.485,0.004969451,1.045543321
63,63,2470,16.22843609,1.227531539,a,3,2.480030549,15.32124181,2.47,-0.010030549,1.059211537
64,64,2287,-5,1.223804153,a,3,2.480030549,15.32124181,2.287,-0.193030549,-0.326344304
65,65,2397,17.01857188,1.227257453,a,3,2.480030549,15.32124181,2.397,-0.083030549,1.1107828
66,66,2487,15.98997902,1.227310066,a,3,2.480030549,15.32124181,2.487,0.006969451,1.043647716
67,67,2428,16.73149042,1.231737248,a,3,2.480030549,15.32124181,2.428,-0.052030549,1.09204532
68,68,2471,16.21494406,1.22754371,a,3,2.480030549,15.32124181,2.471,-0.009030549,1.058330928
69,69,2349,17.31197251,1.227033106,a,3,2.480030549,15.32124181,2.349,-0.131030549,1.129932725
70,70,2478,16.11861164,1.228007902,a,3,2.480030549,15.32124181,2.478,-0.002030549,1.05204342
71,71,2499,15.81034347,1.230045684,a,3,2.480030549,15.32124181,2.499,0.018969451,1.031923108
72,72,2428,16.73149042,1.230268637,a,3,2.480030549,15.32124181,2.428,-0.052030549,1.09204532
73,73,2337,17.35560397,1.222945004,a,3,2.480030549,15.32124181,2.337,-0.143030549,1.132780501
74,74,2259,-5,1.237552026,a,3,2.480030549,15.32124181,2.259,-0.221030549,-0.326344304
75,75,2355,17.28564393,1.214176191,a,3,2.480030549,15.32124181,2.355,-0.125030549,1.128214289
76,76,2267,-5,1.226061315,a,3,2.480030549,15.32124181,2.267,-0.213030549,-0.326344304
77,77,2419,16.82245637,1.223804153,a,3,2.480030549,15.32124181,2.419,-0.061030549,1.097982564
78,78,2431,16.69981146,1.220693323,a,3,2.480030549,15.32124181,2.431,-0.049030549,1.089977671
79,79,2397,17.01857188,1.232287565,a,3,2.480030549,15.32124181,2.397,-0.083030549,1.1107828
80,80,2406,16.94290233,1.219456102,a,3,2.480030549,15.32124181,2.406,-0.074030549,1.105843935
81,81,2515,15.55695617,1.224346178,a,3,2.480030549,15.32124181,2.515,0.034969451,1.015384808
82,82,2480,16.09048691,1.232340883,a,3,2.480030549,15.32124181,2.48,-3.05E-05,1.050207751
83,83,2517,15.52420645,1.227332536,a,3,2.480030549,15.32124181,2.517,0.036969451,1.013247271
84,84,2321,17.39493236,1.225388916,a,3,2.480030549,15.32124181,2.321,-0.159030549,1.13534742
85,85,2401,16.98572791,1.214658384,a,3,2.480030549,15.32124181,2.401,-0.079030549,1.108639112
86,86,2522,15.44131519,1.234658276,a,3,2.480030549,15.32124181,2.522,0.041969451,1.007837053
87,87,2325,17.38712741,1.215350665,a,3,2.480030549,15.32124181,2.325,-0.155030549,1.134838
88,88,2269,-5,1.228035268,a,3,2.480030549,15.32124181,2.269,-0.211030549,-0.326344304
89,89,2479,16.10458242,1.225638677,a,3,2.480030549,15.32124181,2.479,-0.001030549,1.051127749
90,90,2512,15.60563939,1.218176721,a,3,2.480030549,15.32124181,2.512,0.031969451,1.018562306
91,91,2481,16.07632532,1.222812725,b,1,2.498175116,14.83391375,2.481,-0.017175116,1.083754806
92,92,2598,14.02237274,1.220853678,b,1,2.498175116,14.83391375,2.598,0.099824884,0.945291511
93,93,2498,15.8256603,1.229274338,b,1,2.498175116,14.83391375,2.498,-0.000175116,1.066856702
94,94,2222,-5,1.213390533,b,1,2.498175116,14.83391375,2.222,-0.276175116,-0.337065463
95,95,2335,17.36170082,1.216229275,b,1,2.498175116,14.83391375,2.335,-0.163175116,1.170405944
96,96,2270,-5,1.238026935,b,1,2.498175116,14.83391375,2.27,-0.228175116,-0.337065463
97,97,2231,-5,1.225928504,b,1,2.498175116,14.83391375,2.231,-0.267175116,-0.337065463
98,98,2428,16.73149042,1.222353085,b,1,2.498175116,14.83391375,2.428,-0.070175116,1.127921512
99,99,2524,15.40775661,1.2407027,b,1,2.498175116,14.83391375,2.524,0.025824884,1.038684522
100,100,2508,15.66971721,1.226493206,b,1,2.498175116,14.83391375,2.508,0.009824884,1.056344096
101,101,2476,16.14647046,1.230234677,b,1,2.498175116,14.83391375,2.476,-0.022175116,1.088483507
102,102,2273,-5,1.236768081,b,1,2.498175116,14.83391375,2.273,-0.225175116,-0.337065463
103,103,2522,15.44131519,1.256038665,b,1,2.498175116,14.83391375,2.522,0.023824884,1.040946809
104,104,2348,17.31606886,1.220751439,b,1,2.498175116,14.83391375,2.348,-0.150175116,1.167329752
105,105,2499,15.81034347,1.226651625,b,1,2.498175116,14.83391375,2.499,0.000824884,1.065824147
106,106,2182,-5,1.211563336,b,1,2.498175116,14.83391375,2.182,-0.316175116,-0.337065463
107,107,2201,-5,1.23709415,b,1,2.498175116,14.83391375,2.201,-0.297175116,-0.337065463
108,108,2236,-5,1.23970025,b,1,2.498175116,14.83391375,2.236,-0.262175116,-0.337065463
109,109,2463,16.32096575,1.235582694,b,1,2.498175116,14.83391375,2.463,-0.035175116,1.100246774
110,110,2465,16.29487244,1.218979647,b,1,2.498175116,14.83391375,2.465,-0.033175116,1.098487743
111,111,2251,-5,1.223879462,b,1,2.498175116,14.83391375,2.251,-0.247175116,-0.337065463
112,112,2306,17.41212407,1.211248656,b,1,2.498175116,14.83391375,2.306,-0.192175116,1.173805131
113,113,2440,16.60076042,1.230907172,b,1,2.498175116,14.83391375,2.44,-0.058175116,1.119108598
114,114,2490,15.94592978,1.251382217,b,1,2.498175116,14.83391375,2.49,-0.008175116,1.07496444
115,115,2346,17.32401092,1.231110476,b,1,2.498175116,14.83391375,2.346,-0.152175116,1.167865151
116,116,NA,NA,NA,b,1,NA,NA,NA,NA,NA
117,117,2311,17.40851453,1.223879462,b,1,2.498175116,14.83391375,2.311,-0.187175116,1.173561801
118,118,2379,17.15058409,1.240285045,b,1,2.498175116,14.83391375,2.379,-0.119175116,1.156173912
119,119,2346,17.32401092,1.226395925,b,1,2.498175116,14.83391375,2.346,-0.152175116,1.167865151
120,120,2287,-5,1.230748568,b,1,2.498175116,14.83391375,2.287,-0.211175116,-0.337065463
121,121,2507,15.68558644,1.231296157,b,2,2.498175116,14.83391375,2.507,0.008824884,1.05741389
122,122,2385,17.10947103,1.236211005,b,2,2.498175116,14.83391375,2.385,-0.113175116,1.153402353
123,123,2295,-5,1.217426144,b,2,2.498175116,14.83391375,2.295,-0.203175116,-0.337065463
124,124,2266,-5,1.219575849,b,2,2.498175116,14.83391375,2.266,-0.232175116,-0.337065463
125,125,2496,15.85610645,1.21112027,b,2,2.498175116,14.83391375,2.496,-0.002175116,1.068909171
126,126,2417,16.84183434,1.235316658,b,2,2.498175116,14.83391375,2.417,-0.081175116,1.135360136
127,127,2334,17.36462299,1.232537838,b,2,2.498175116,14.83391375,2.334,-0.164175116,1.170602936
128,128,2260,-5,1.213991063,b,2,2.498175116,14.83391375,2.26,-0.238175116,-0.337065463
129,129,2256,-5,1.229485552,b,2,2.498175116,14.83391375,2.256,-0.242175116,-0.337065463
130,130,2419,16.82245637,1.24305782,b,2,2.498175116,14.83391375,2.419,-0.079175116,1.134053808
131,131,2348,17.31606886,1.240406678,b,2,2.498175116,14.83391375,2.348,-0.150175116,1.167329752
132,132,2440,16.60076042,1.240498972,b,2,2.498175116,14.83391375,2.44,-0.058175116,1.119108598
133,133,2234,-5,1.23562376,b,2,2.498175116,14.83391375,2.234,-0.264175116,-0.337065463
134,134,2502,15.76402046,1.222326075,b,2,2.498175116,14.83391375,2.502,0.003824884,1.06270137
135,135,2499,15.81034347,1.226395925,b,2,2.498175116,14.83391375,2.499,0.000824884,1.065824147
136,136,2279,-5,1.225744905,b,2,2.498175116,14.83391375,2.279,-0.219175116,-0.337065463
137,137,2308,17.41093496,1.225495523,b,2,2.498175116,14.83391375,2.308,-0.190175116,1.173724969
138,138,2360,17.26141826,1.218443084,b,2,2.498175116,14.83391375,2.36,-0.138175116,1.163645586
139,139,2295,-5,1.210020043,b,2,2.498175116,14.83391375,2.295,-0.203175116,-0.337065463
140,140,2382,17.13039127,1.218538808,b,2,2.498175116,14.83391375,2.382,-0.116175116,1.154812652
141,141,2486,16.00453298,1.245640564,b,2,2.498175116,14.83391375,2.486,-0.012175116,1.078915062
142,142,2513,15.58947079,1.241920002,b,2,2.498175116,14.83391375,2.513,0.014824884,1.050934437
143,143,2263,-5,1.236503671,b,2,2.498175116,14.83391375,2.263,-0.235175116,-0.337065463
144,144,2379,17.15058409,1.236783288,b,2,2.498175116,14.83391375,2.379,-0.119175116,1.156173912
145,145,2497,15.8409147,1.221403046,b,2,2.498175116,14.83391375,2.497,-0.001175116,1.067885048
146,146,2192,-5,1.238945106,b,2,2.498175116,14.83391375,2.192,-0.306175116,-0.337065463
147,147,2504,15.73283014,1.222338999,b,2,2.498175116,14.83391375,2.504,0.005824884,1.060598734
148,148,2509,15.65378767,1.232062267,b,2,2.498175116,14.83391375,2.509,0.010824884,1.055270236
149,149,2342,17.33889097,1.236998163,b,2,2.498175116,14.83391375,2.342,-0.156175116,1.168868261
150,150,2369,17.21260692,1.242003635,b,2,2.498175116,14.83391375,2.369,-0.129175116,1.160355063
151,151,2515,15.55695617,1.226149011,b,3,2.498175116,14.83391375,2.515,0.016824884,1.048742526
152,152,2481,16.07632532,1.240498972,b,3,2.498175116,14.83391375,2.481,-0.017175116,1.083754806
153,153,2148,-5,1.246833387,b,3,2.498175116,14.83391375,2.148,-0.350175116,-0.337065463
