,block,participants,latency,rad,getpoints,latency.sd,rad.sd,getpoints.sd,latencysecond,latencysdsecond,optimalr,optimaldeg,optimalt,optimalp,index,timingbias,toneminusreaction,rad.deg,norm.deg,norm.latencysd,percentagebias
30,5,n,2440.9,0.713876831,18.34131595,84.06169737,0.065500509,8.456548914,2.4409,0.084061697,0.364206716,20.8675077,2.392385653,21.45947249,0.854695564,0.048514347,0.1409,40.90212951,0.250437675,-0.538455602,0.020278648
51,2,n,2393.6,0.720964694,17.46228808,108.1259164,0.176891364,10.84410803,2.3936,0.108125916,0.364206716,20.8675077,2.392385653,21.45947249,0.813733333,0.001214347,0.0936,41.30823414,0.286684212,0.201593947,0.000507588
40,1,n,2385.133333,0.856076499,17.93769684,94.02594408,0.699349364,12.31556353,2.385133333,0.094025944,0.364206716,20.8675077,2.392385653,21.45947249,0.835887129,-0.00725232,0.085133333,49.04957033,0.977630828,-0.232024028,-0.003031418
18,4,l,2376.366667,0.3928173,17.81262804,98.94633981,0.05440136,16.72133224,2.376366667,0.09894634,0.38940403,22.31120747,2.399882928,20.37224618,0.874357588,-0.023516261,0.076366667,22.50677341,-1.391424756,-0.080706554,-0.00979892
29,5,l,2399.4,0.414263841,22.19788027,107.9379132,0.038322817,12.66102097,2.3994,0.107937913,0.38940403,22.31120747,2.399882928,20.37224618,1.089613785,-0.000482928,0.0994,23.73556969,-1.281749551,0.19581227,-0.00020123
7,3,l,2376.433333,0.544043952,19.6862913,93.13382412,0.173012032,14.27312411,2.376433333,0.093133824,0.38940403,22.31120747,2.399882928,20.37224618,0.966328952,-0.023449595,0.076433333,31.17142232,-0.61806862,-0.259459491,-0.009771141
39,2,l,2347.7,0.554798066,10.6291858,113.9355989,0.462941187,15.16991937,2.3477,0.113935599,0.38940403,22.31120747,2.399882928,20.37224618,0.521748348,-0.052182928,0.0477,31.78758766,-0.563073287,0.380259761,-0.021743947
28,1,l,2365.433333,1.208097059,16.86460398,94.68775668,0.8465859,23.488368,2.365433333,0.094687757,0.38940403,22.31120747,2.399882928,20.37224618,0.827822511,-0.034449595,0.065433333,69.21886272,2.777824489,-0.211671221,-0.014354698
44,4,u,2463.448276,0.535859975,14.93306467,101.261185,0.088329324,10.1520982,2.463448276,0.101261185,0.398081761,22.80840478,2.402015135,20.19415072,0.739474756,0.061433141,0.163448276,30.70251498,-0.65992056,-0.009517873,0.025575668
55,5,u,2488.206897,0.553209121,15.90877232,103.0313334,0.087819719,9.059429405,2.488206897,0.103031333,0.398081761,22.80840478,2.402015135,20.19415072,0.787791105,0.086191762,0.188206897,31.69654782,-0.571198973,0.044919681,0.035883105
33,3,u,2508.034483,0.645735422,18.11368958,117.6646211,0.086992334,6.370736547,2.508034483,0.117664621,0.398081761,22.80840478,2.402015135,20.19415072,0.896977042,0.106019348,0.208034483,36.99791436,-0.098029848,0.494938781,0.044137669
11,2,u,2482.666667,0.676902198,17.19583772,105.3900255,0.085700431,7.502225678,2.482666667,0.105390025,0.398081761,22.80840478,2.402015135,20.19415072,0.85152567,0.080651532,0.182666667,38.78363909,0.061353549,0.117456793,0.033576613
54,1,u,2470.1,1.232951911,12.91751967,106.2217427,0.350411334,6.320640062,2.4701,0.106221743,0.398081761,22.80840478,2.402015135,20.19415072,0.639666399,0.068084865,0.1701,70.64294084,2.904929415,0.143034707,0.028344894
15,1,h,2394.9,0.665218108,15.89731631,119.9776847,0.17406595,12.82847479,2.3949,0.119977685,0.422677383,24.21763017,2.409763061,19.14756221,0.830252757,-0.014863061,0.0949,38.11419004,0.001602423,0.566072691,-0.006167852
5,4,h,2498.366667,0.781864718,14.83616068,103.8312568,0.122989613,7.508926372,2.498366667,0.103831257,0.422677383,24.21763017,2.409763061,19.14756221,0.774832875,0.088603606,0.198366667,44.79754849,0.598120104,0.069519831,0.036768597
16,5,h,2488.233333,0.79813584,16.37519378,117.8776933,0.052967793,7.020491193,2.488233333,0.117877693,0.422677383,24.21763017,2.409763061,19.14756221,0.855210371,0.078470272,0.188233333,45.72981511,0.681328797,0.501491408,0.03256348
48,3,h,2502,0.819454181,14.94985035,93.59266107,0.261004482,6.477517675,2.502,0.093592661,0.422677383,24.21763017,2.409763061,19.14756221,0.780770428,0.092236939,0.202,46.95126608,0.790348402,-0.245348827,0.038276352
26,2,h,2453.2,0.94968016,13.69216544,117.2728619,0.234083424,8.763725738,2.4532,0.117272862,0.422677383,24.21763017,2.409763061,19.14756221,0.715086615,0.043436939,0.1532,54.41266506,1.456309452,0.482890974,0.018025398
52,2,r,2401.4,0.330224671,16.96227644,95.95782119,0.102296513,16.2833663,2.4014,0.095957821,0.435580502,24.95692443,2.413559959,18.73387292,0.905433517,-0.012159959,0.1014,18.92047994,-1.711516441,-0.172612804,-0.005038184
20,3,r,2389.566667,0.336451561,13.33295424,115.396971,0.171329998,18.1194853,2.389566667,0.115396971,0.435580502,24.95692443,2.413559959,18.73387292,0.711703036,-0.023993292,0.089566667,19.27725446,-1.679672824,0.425201494,-0.009941038
42,5,r,2433.033333,0.381047353,10.65647286,111.5794084,0.082335036,12.0628933,2.433033333,0.111579408,0.435580502,24.95692443,2.413559959,18.73387292,0.56883448,0.019473374,0.133033333,21.83240512,-1.451614945,0.307799563,0.00806832
31,4,r,2403.366667,0.439885919,11.73766769,120.126509,0.203016822,13.09116455,2.403366667,0.120126509,0.435580502,24.95692443,2.413559959,18.73387292,0.626547844,-0.010193292,0.103366667,25.20360663,-1.150721118,0.570649491,-0.004223343
41,1,r,2415.4,0.779935998,9.750094672,134.1714292,0.657612227,10.74164981,2.4154,0.134171429,0.435580502,24.95692443,2.413559959,18.73387292,0.520452696,0.001840041,0.1154,44.68704098,0.588256846,1.002574446,0.000762376
32,4,s,2349.833333,0.488374953,7.051342239,224.3159845,0.213749734,12.62428678,2.349833333,0.224315985,0.645571964,36.9885489,2.476884349,14.02161785,0.502890773,-0.127051016,0.049833333,27.98182363,-0.902753637,3.774799798,-0.05129469
10,2,s,2326.366667,0.518229636,16.97560944,151.0573043,0.075544475,15.81396306,2.326366667,0.151057304,0.645571964,36.9885489,2.476884349,14.02161785,1.210674091,-0.150517682,0.026366667,29.69237096,-0.750080136,1.5218676,-0.060768958
43,5,s,2385.1,0.539608897,13.61498135,165.6781987,0.072815888,13.25856659,2.3851,0.165678199,0.645571964,36.9885489,2.476884349,14.02161785,0.970999317,-0.091784349,0.0851,30.91731239,-0.640748993,1.971505577,-0.037056372
21,3,s,2423.2,0.597990874,12.10085231,144.9402731,0.243741683,14.47126727,2.4232,0.144940273,0.645571964,36.9885489,2.476884349,14.02161785,0.863013986,-0.053684349,0.1232,34.26235327,-0.342190111,1.333749879,-0.021674144
53,1,s,2395.566667,1.068506241,11.12509237,173.7538257,0.411546617,12.01808145,2.395566667,0.173753826,0.645571964,36.9885489,2.476884349,14.02161785,0.793424303,-0.081317682,0.095566667,61.22089799,2.063972703,2.219856214,-0.032830633
