trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
41,2214,27.34953875,19.87889781,0.590650435,732.9906725,a,2,2.214,1.260556034,0.004777031,20.54657184,2.209222969,21.69640858
42,2229,26.77029782,20.55804699,0.636744455,759.7609703,a,2,2.229,1.233858485,0.019777031,20.54657184,2.209222969,21.69640858
43,2268,29.54229958,21.07573456,0.586154177,789.3032699,a,2,2.268,1.361621647,0.058777031,20.54657184,2.209222969,21.69640858
44,2199,25.84028836,21.72700879,0.620249486,815.1435582,a,2,2.199,1.190993812,-0.010222969,20.54657184,2.209222969,21.69640858
45,1977,4.733183347,22.02081447,0.458439323,819.8767416,a,2,1.977,0.218155154,-0.232222969,20.54657184,2.209222969,21.69640858
46,2251,28.5909368,20.86830573,0.600713783,848.4676784,a,2,2.251,1.317772787,0.041777031,20.54657184,2.209222969,21.69640858
47,2210,26.53711613,21.35097017,0.61446363,875.0047945,a,2,2.21,1.223111006,0.000777031,20.54657184,2.209222969,21.69640858
48,2150,22.67239056,21.65603758,0.634874436,897.677185,a,2,2.15,1.044983573,-0.059222969,20.54657184,2.209222969,21.69640858
49,2316,-5,21.71250164,0.583258806,892.677185,a,2,2.316,-0.230452887,0.106777031,20.54657184,2.209222969,21.69640858
50,2161,23.51995633,20.3065805,0.623665357,916.1971414,a,2,2.161,1.084048369,-0.048222969,20.54657184,2.209222969,21.69640858
51,2089,18.36439867,20.46724929,0.639698846,934.5615401,a,2,2.089,0.846425739,-0.120222969,20.54657184,2.209222969,21.69640858
52,2241,28.42962389,20.36711355,0.595309363,962.9911639,a,2,2.241,1.310337782,0.031777031,20.54657184,2.209222969,21.69640858
53,2190,25.44733113,20.73359129,0.615293369,988.4384951,a,2,2.19,1.172882186,-0.019222969,20.54657184,2.209222969,21.69640858
54,2402,-5,20.9385365,0.611560921,983.4384951,a,2,2.402,-0.230452887,0.192777031,20.54657184,2.209222969,21.69640858
55,2196,25.90352504,19.85776415,0.609806001,1009.34202,a,2,2.196,1.193908427,-0.013222969,20.54657184,2.209222969,21.69640858
56,2244,27.63705331,20.09959458,0.624131454,1036.979073,a,2,2.244,1.273807746,0.034777031,20.54657184,2.209222969,21.69640858
57,2136,21.85663318,20.38949684,0.614662952,1058.835707,a,2,2.136,1.007384844,-0.073222969,20.54657184,2.209222969,21.69640858
58,2160,23.54954207,20.44383522,0.615916757,1082.385249,a,2,2.16,1.085411993,-0.049222969,20.54657184,2.209222969,21.69640858
59,2035,14.05143093,20.55475332,0.618644351,1096.43668,a,2,2.035,0.647638566,-0.174222969,20.54657184,2.209222969,21.69640858
