,block,participants,latency,rad,getpoints,latency.sd,rad.sd,getpoints.sd,latencysecond,latencysdsecond,optimalr,optimaldeg,optimalt,optimalp,index,timingbias,rad.deg,norm.deg,norm.latencysd
6,5,e,2355.433333,0.41377553,23.48884563,170.2263571,0.041327748,12.86220211,2.355433333,0.170226357,0.27765593,15.90851292,2.299999983,29.32064629,0.801102588,0.05543335,23.70759153,-0.350823841,1.113368982
27,1,f,2371.466667,0.582158876,22.50880051,126.9356974,0.255892657,8.957713588,2.371466667,0.126935697,0.257370654,14.74625223,2.299999983,32.31726434,0.696494613,0.071466684,33.3552466,0.560654124,-0.106675096
48,2,f,2345.103448,0.600440361,24.82789958,125.2555516,0.172861369,8.109723476,2.345103448,0.125255552,0.257370654,14.74625223,2.299999983,32.31726434,0.76825499,0.045103465,34.40269853,0.659613856,-0.154025978
69,3,f,2329.8,0.30538377,30.33587365,117.5835433,0.079618993,16.48817393,2.3298,0.117583543,0.257370654,14.74625223,2.299999983,32.31726434,0.938689405,0.029800017,17.49720115,-0.937560613,-0.370243267
90,4,f,2322.6,0.243547303,32.72590257,114.3200589,0.098807539,25.00122908,2.3226,0.114320059,0.257370654,14.74625223,2.299999983,32.31726434,1.01264458,0.022600017,13.95423257,-1.272288354,-0.462216786
7,5,f,2331.2,0.212552624,31.3126983,121.7752027,0.054005843,27.22244605,2.3312,0.121775203,0.257370654,14.74625223,2.299999983,32.31726434,0.968915499,0.031200017,12.17836828,-1.440066033,-0.25211132
28,1,g,2311.931034,0.796504602,22.31520412,138.3855719,0.796930291,10.82663235,2.311931034,0.138385572,0.245750648,14.08047496,2.299999983,32.42162502,0.688281482,0.011931051,45.63635206,1.720931615,0.216012343
49,2,g,2284.066667,0.667937057,23.62237454,140.901025,0.521633409,7.528449714,2.284066667,0.140901025,0.245750648,14.08047496,2.299999983,32.42162502,0.728599338,-0.015933316,38.26997435,1.024981053,0.28690439
70,3,g,2290.333333,0.349824547,32.57475667,111.7664848,0.17349957,15.52884374,2.290333333,0.111766485,0.245750648,14.08047496,2.299999983,32.42162502,1.004723133,-0.00966665,20.04347011,-0.696997695,-0.534183183
91,4,g,2264.266667,0.305120667,29.78639773,113.0114225,0.022868158,15.03416514,2.264266667,0.113011422,0.245750648,14.08047496,2.299999983,32.42162502,0.918720074,-0.035733316,17.48212646,-0.938984819,-0.499097601
8,5,g,2287.566667,0.273627177,34.17484956,106.8423535,0.019672066,18.86513387,2.287566667,0.106842354,0.245750648,14.08047496,2.299999983,32.42162502,1.054075776,-0.012433316,15.6776824,-1.109462618,-0.67295808
50,1,h,2273.533333,0.335372707,31.8585572,99.95231047,0.120846388,17.08660629,2.273533333,0.09995231,0.249297699,14.28370599,2.299999983,35.89356143,0.887584177,-0.02646665,19.21544067,-0.775227128,-0.867137549
71,2,h,2292.8,0.332910756,31.15568256,109.6890275,0.099261477,11.21908776,2.2928,0.109689028,0.249297699,14.28370599,2.299999983,35.89356143,0.868001985,-0.007199983,19.07438127,-0.788553946,-0.592731358
