trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
42,2258,-5,17.95152761,0.994619716,712.8872832,b,2,2.258,-0.223518247,-0.128669163,19.74796056,2.386669163,22.3695384
43,2404,20.52001318,16.03890031,0.912230444,733.4072963,b,2,2.404,0.917319473,0.017330837,19.74796056,2.386669163,22.3695384
44,2460,22.28396375,16.3836013,0.59218668,755.6912601,b,2,2.46,0.996174501,0.073330837,19.74796056,2.386669163,22.3695384
45,2437,23.69492532,16.80505576,0.620249486,779.3861854,b,2,2.437,1.059249632,0.050330837,19.74796056,2.386669163,22.3695384
46,2461,22.00416697,17.26438039,0.625676172,801.3903524,b,2,2.461,0.983666564,0.074330837,19.74796056,2.386669163,22.3695384
47,2383,27.15314699,17.56061706,0.603749333,828.5434994,b,2,2.383,1.213844761,-0.003669163,19.74796056,2.386669163,22.3695384
48,2477,20.85394859,18.12488352,0.561765532,849.397448,b,2,2.477,0.932247605,0.090330837,19.74796056,2.386669163,22.3695384
49,2494,19.58830927,18.27649825,0.625978258,868.9857572,b,2,2.494,0.875668908,0.107330837,19.74796056,2.386669163,22.3695384
50,2285,-5,18.34554093,0.657074936,863.9857572,b,2,2.285,-0.223518247,-0.101669163,19.74796056,2.386669163,22.3695384
51,2344,29.07556478,17.17826389,0.590761217,893.061322,b,2,2.344,1.299783852,-0.042669163,19.74796056,2.386669163,22.3695384
52,2413,26.16289873,17.74480202,0.569136918,919.2242207,b,2,2.413,1.16957705,0.026330837,19.74796056,2.386669163,22.3695384
53,2502,18.29908023,18.12744278,0.544280485,937.523301,b,2,2.502,0.818035665,0.115330837,19.74796056,2.386669163,22.3695384
54,2399,26.00807276,18.13490528,0.617445231,963.5313737,b,2,2.399,1.162655764,0.012330837,19.74796056,2.386669163,22.3695384
55,2322,30.49140374,18.46295393,0.566329697,994.0227775,b,2,2.322,1.36307702,-0.064669163,19.74796056,2.386669163,22.3695384
56,2486,20.07696534,18.94409192,0.572029521,1014.099743,b,2,2.486,0.897513618,0.099330837,19.74796056,2.386669163,22.3695384
57,2490,19.86639114,18.98766397,0.608689307,1033.966134,b,2,2.49,0.888100183,0.103330837,19.74796056,2.386669163,22.3695384
58,2473,21.23879475,19.02020942,0.58397848,1055.204929,b,2,2.473,0.949451632,0.086330837,19.74796056,2.386669163,22.3695384
59,2389,26.94819259,19.09944461,0.600050213,1082.153121,b,2,2.389,1.204682551,0.002330837,19.74796056,2.386669163,22.3695384
60,2477,20.89854314,19.3700911,0.601454707,1103.051664,b,2,2.477,0.934241144,0.090330837,19.74796056,2.386669163,22.3695384
61,2352,22.84768895,nan,0.82474792,1125.899353,b,3,2.352,1.021375075,-0.034669163,19.74796056,2.386669163,22.3695384
62,2269,-5,22.84768895,0.623823452,1120.899353,b,3,2.269,-0.223518247,-0.117669163,19.74796056,2.386669163,22.3695384
63,2499,19.25528082,8.923844476,0.667429943,1140.154634,b,3,2.499,0.860781321,0.112330837,19.74796056,2.386669163,22.3695384
64,2482,19.75916513,12.36765659,0.767606447,1159.913799,b,3,2.482,0.883306789,0.095330837,19.74796056,2.386669163,22.3695384
65,2423,19.61760726,14.21553372,0.952368332,1179.531407,b,3,2.423,0.876978635,0.036330837,19.74796056,2.386669163,22.3695384
66,2511,17.54657839,15.29594843,0.928328275,1197.077985,b,3,2.511,0.784396087,0.124330837,19.74796056,2.386669163,22.3695384
67,2445,22.73163659,15.67105342,0.657528245,1219.809622,b,3,2.445,1.016187111,0.058330837,19.74796056,2.386669163,22.3695384
68,2514,18.05909896,16.67970816,0.625022719,1237.868721,b,3,2.514,0.807307627,0.127330837,19.74796056,2.386669163,22.3695384
69,2476,20.9531262,16.85213201,0.564166059,1258.821847,b,3,2.476,0.936681206,0.089330837,19.74796056,2.386669163,22.3695384
70,2425,24.43781795,17.30779803,0.621659922,1283.259665,b,3,2.425,1.092459644,0.038330837,19.74796056,2.386669163,22.3695384
71,2271,-5,18.02080003,0.584524357,1278.259665,b,3,2.271,-0.223518247,-0.115669163,19.74796056,2.386669163,22.3695384
72,2388,26.47154497,15.92800002,0.621018125,1304.73121,b,3,2.388,1.183374663,0.001330837,19.74796056,2.386669163,22.3695384
73,2408,25.72379227,16.80662877,0.607386282,1330.455002,b,3,2.408,1.149947389,0.021330837,19.74796056,2.386669163,22.3695384
74,2504,18.91521288,17.49256442,0.659310068,1349.370215,b,3,2.504,0.845579043,0.117330837,19.74796056,2.386669163,22.3695384
75,2500,19.08456245,17.59418217,0.612537557,1368.454777,b,3,2.5,0.853149587,0.113330837,19.74796056,2.386669163,22.3695384
76,2454,22.97118531,17.69354086,0.554059788,1391.425963,b,3,2.454,1.026895812,0.067330837,19.74796056,2.386669163,22.3695384
77,2304,28.52184373,18.02339363,0.623823452,1419.947806,b,3,2.304,1.2750305,-0.082669163,19.74796056,2.386669163,22.3695384
78,2439,23.66795026,18.64094952,0.61180763,1443.615757,b,3,2.439,1.058043748,0.052330837,19.74796056,2.386669163,22.3695384
79,2615,9.63389647,18.92022734,0.586420326,1453.249653,b,3,2.615,0.430670329,0.228330837,19.74796056,2.386669163,22.3695384
80,2497,19.27418798,18.43147308,0.601073754,1472.523841,b,3,2.497,0.86162654,0.110330837,19.74796056,2.386669163,22.3695384
81,2401,25.9367916,18.47360883,0.615869952,1498.460633,b,3,2.401,1.159469236,0.014330837,19.74796056,2.386669163,22.3695384
82,2590,8.499433192,18.82899848,0.494611161,1506.960066,b,3,2.59,0.379955681,0.203330837,19.74796056,2.386669163,22.3695384
83,2493,19.54444443,18.35947279,0.588002604,1526.50451,b,3,2.493,0.87370799,0.106330837,19.74796056,2.386669163,22.3695384
84,2459,22.36411645,18.4109933,0.592075901,1548.868627,b,3,2.459,0.999757619,0.072330837,19.74796056,2.386669163,22.3695384
85,2199,-5,18.57570676,0.584601256,1543.868627,b,3,2.199,-0.223518247,-0.187669163,19.74796056,2.386669163,22.3695384
86,2321,28.83570816,17.63267849,0.611127732,1572.704335,b,3,2.321,1.289061385,-0.065669163,19.74796056,2.386669163,22.3695384
87,2340,29.75679748,18.06356425,0.574888601,1602.461132,b,3,2.34,1.330237439,-0.046669163,19.74796056,2.386669163,22.3695384
88,2328,29.5551749,18.49664696,0.588002604,1632.016307,b,3,2.328,1.321224174,-0.058669163,19.74796056,2.386669163,22.3695384
89,2407,25.76285399,18.89159438,0.608325009,1657.779161,b,3,2.407,1.15169359,0.020330837,19.74796056,2.386669163,22.3695384
90,2369,28.80017607,19.12853437,0.570383282,1686.579337,b,3,2.369,1.287472971,-0.017669163,19.74796056,2.386669163,22.3695384
91,2330,28.07516264,nan,0.629803335,1714.6545,b,4,2.33,1.255062225,-0.056669163,19.74796056,2.386669163,22.3695384
92,2501,19.06730073,28.07516264,0.628796286,1733.721801,b,4,2.501,0.852377925,0.114330837,19.74796056,2.386669163,22.3695384
93,2193,-5,23.57123168,0.627836594,1728.721801,b,4,2.193,-0.223518247,-0.193669163,19.74796056,2.386669163,22.3695384
94,2370,27.10828065,14.04748779,0.625791789,1755.830081,b,4,2.37,1.211839072,-0.016669163,19.74796056,2.386669163,22.3695384
95,2416,24.83535659,17.312686,0.62937332,1780.665438,b,4,2.416,1.110231072,0.029330837,19.74796056,2.386669163,22.3695384
96,2301,27.5348175,18.81722012,0.654082724,1808.200255,b,4,2.301,1.230906826,-0.085669163,19.74796056,2.386669163,22.3695384
97,2309,29.49244046,20.27015302,0.595986466,1837.692696,b,4,2.309,1.318419716,-0.077669163,19.74796056,2.386669163,22.3695384
98,2332,27.68600703,21.58762265,0.640956585,1865.378703,b,4,2.332,1.237665549,-0.054669163,19.74796056,2.386669163,22.3695384
99,2250,-5,22.3499207,0.634295385,1860.378703,b,4,2.25,-0.223518247,-0.136669163,19.74796056,2.386669163,22.3695384
100,2360,27.19121969,19.31104062,0.635026735,1887.569923,b,4,2.36,1.21554675,-0.026669163,19.74796056,2.386669163,22.3695384
101,2306,27.9877481,20.09905853,0.639650037,1915.557671,b,4,2.306,1.251154476,-0.080669163,19.74796056,2.386669163,22.3695384
102,2497,19.39278795,20.81621213,0.650303725,1934.950459,b,4,2.497,0.866928392,0.110330837,19.74796056,2.386669163,22.3695384
103,2407,24.24888588,20.69759345,0.683709312,1959.199344,b,4,2.407,1.084013691,0.020330837,19.74796056,2.386669163,22.3695384
104,2510,18.54089157,20.97076979,0.683561884,1977.740236,b,4,2.51,0.828845515,0.123330837,19.74796056,2.386669163,22.3695384
105,2440,23.71613466,20.79720706,0.601963302,2001.456371,b,4,2.44,1.060197767,0.053330837,19.74796056,2.386669163,22.3695384
106,2276,-5,20.99180223,0.58058159,1996.456371,b,4,2.276,-0.223518247,-0.110669163,19.74796056,2.386669163,22.3695384
107,2450,23.0223107,19.36731459,0.597758392,2019.478681,b,4,2.45,1.029181304,0.063330837,19.74796056,2.386669163,22.3695384
108,2398,27.17499639,19.58231436,0.569756453,2046.653678,b,4,2.398,1.214821509,0.011330837,19.74796056,2.386669163,22.3695384
109,2352,28.70668876,20.00413003,0.594341663,2075.360367,b,4,2.352,1.283293747,-0.034669163,19.74796056,2.386669163,22.3695384
110,2341,29.19628139,20.46215944,0.589697517,2104.556648,b,4,2.341,1.305180325,-0.045669163,19.74796056,2.386669163,22.3695384
111,2370,28.32657069,20.89886554,0.584081055,2132.883219,b,4,2.37,1.266301082,-0.016669163,19.74796056,2.386669163,22.3695384
112,2477,20.89886296,21.25256578,0.601073754,2153.782082,b,4,2.477,0.934255441,0.090330837,19.74796056,2.386669163,22.3695384
113,2272,-5,21.23648838,0.575276018,2148.782082,b,4,2.272,-0.223518247,-0.114669163,19.74796056,2.386669163,22.3695384
114,2507,18.38561932,20.09577149,0.593002562,2167.167701,b,4,2.507,0.821904279,0.120330837,19.74796056,2.386669163,22.3695384
115,2344,28.33956078,20.02451515,0.612640937,2195.507262,b,4,2.344,1.266881787,-0.042669163,19.74796056,2.386669163,22.3695384
116,2289,-5,20.35711698,0.664774495,2190.507262,b,4,2.289,-0.223518247,-0.097669163,19.74796056,2.386669163,22.3695384
117,2401,26.67343623,19.38184325,0.583076535,2217.180698,b,4,2.401,1.192399939,0.014330837,19.74796056,2.386669163,22.3695384
118,2218,-5,19.65190225,0.571729176,2212.180698,b,4,2.218,-0.223518247,-0.168669163,19.74796056,2.386669163,22.3695384
119,2519,17.18255334,18.77147717,0.578267167,2229.363251,b,4,2.519,0.768122839,0.132330837,19.74796056,2.386669163,22.3695384
120,2403,25.59195284,18.71668669,0.626865166,2254.955204,b,4,2.403,1.144053685,0.016330837,19.74796056,2.386669163,22.3695384
121,2240,-5,nan,0.623823452,2249.955204,b,5,2.24,-0.223518247,-0.146669163,19.74796056,2.386669163,22.3695384
122,2462,21.96174482,-5,0.621416347,2271.916949,b,5,2.462,0.981770139,0.075330837,19.74796056,2.386669163,22.3695384
123,2283,-5,8.480872409,0.643501109,2266.916949,b,5,2.283,-0.223518247,-0.103669163,19.74796056,2.386669163,22.3695384
124,2484,20.32365069,3.987248273,0.635650436,2287.2406,b,5,2.484,0.908541353,0.097330837,19.74796056,2.386669163,22.3695384
