,block,participants,latency,rad,getpoints,latency.sd,rad.sd,getpoints.sd,latencysecond,latencysdsecond,optimalr,optimaldeg,optimalt,optimalp,index,timingbias,rad.deg,norm.deg,norm.latencysd,percentagebias
35,4,i,2214.8,0.521370066,12.87975078,156.0997471,0.064597418,13.76875769,2.2148,0.156099747,0.571850586,31.84013537,2.150349776,15.63309024,0.823877467,0.064450224,29.87230435,-0.312078892,0.963236615,0.029971972
45,5,i,2235.166667,0.546398536,10.75866064,184.888239,0.012817831,14.98615758,2.235166667,0.184888239,0.555715197,31.84013537,2.150349776,15.63309024,0.688197949,0.084816891,31.30633004,-0.188531416,1.738407747,0.0394433
6,1,k,2229.633333,0.233219407,18.23463488,99.90805543,0.069253042,20.92296449,2.229633333,0.099908055,0.423121069,24.2430515,2.190104857,19.13248771,0.95307182,0.039528476,13.36248772,-1.734470534,-0.54980469,0.018048668
16,2,k,2231.2,0.252238704,26.93345161,78.4678278,0.070058754,25.08316044,2.2312,0.078467828,0.232784863,24.2430515,2.190104857,19.13248771,1.407733903,0.041095143,14.45221317,-1.640586005,-1.127113325,0.018764007
26,3,k,2221.966667,0.243953194,14.9955351,117.2811192,0.056497636,20.97715053,2.221966667,0.117281119,0.608630879,24.2430515,2.190104857,19.13248771,0.783773408,0.03186181,13.97748841,-1.681485582,-0.082010208,0.014548075
36,4,k,2192.033333,0.308785762,18.26122658,97.51020577,0.048807894,17.81063385,2.192033333,0.097510206,0.492778794,24.2430515,2.190104857,19.13248771,0.954461691,0.001928476,17.69212094,-1.361454029,-0.614370188,0.00088054
46,5,k,2171.7,0.313314964,13.39849773,150.0264689,0.0196958,15.5968438,2.1717,0.150026469,0.420116206,24.2430515,2.190104857,19.13248771,0.700300867,-0.018404857,17.9516251,-1.339096631,0.799704959,-0.008403642
7,1,m,2253.068966,0.303980656,31.5149881,61.3682858,0.073190542,21.61840453,2.253068966,0.061368286,0.358605329,13.33759018,2.245962509,30.61125027,1.029523062,0.007106457,17.41680864,-1.385173366,-1.587542837,0.003164103
17,2,m,2234.866667,0.360363247,24.65678948,59.36894192,0.060124245,16.58065977,2.234866667,0.059368942,0.586671686,13.33759018,2.245962509,30.61125027,0.805481294,-0.011095842,20.64729314,-1.106853245,-1.641378021,-0.00494035
27,3,m,2215.9,0.382994662,29.74036162,50.38565067,0.075592151,12.12946565,2.2159,0.050385651,0.360692,13.33759018,2.245962509,30.61125027,0.971550047,-0.030062509,21.94397771,-0.995138299,-1.88326592,-0.013385134
37,4,m,2221.413793,0.333288275,28.03382883,58.91793157,0.051674361,15.99853286,2.221413793,0.058917932,0.571850586,13.33759018,2.245962509,30.61125027,0.915801497,-0.024548716,19.09601152,-1.240502823,-1.653522107,-0.010930154
47,5,m,2238.8,0.366529508,29.17278142,57.42125042,0.028761516,15.77337976,2.2388,0.05742125,0.555715197,13.33759018,2.245962509,30.61125027,0.953008491,-0.007162509,21.00059388,-1.076414869,-1.693822401,-0.00318906
8,1,o,2109.137931,0.767277384,14.47052771,168.8802881,0.096010729,8.392861988,2.109137931,0.168880288,0.423121069,34.87198064,2.134337362,14.63183794,0.988975395,-0.025199431,43.96175582,0.901787892,1.307370876,-0.011806677
18,2,o,2068,0.670654397,13.91153491,162.9691031,0.142328038,9.052367571,2.068,0.162969103,0.232784863,34.87198064,2.134337362,14.63183794,0.950771528,-0.066337362,38.42566646,0.424830006,1.148203805,-0.031081011
28,3,o,2035.793103,0.72019059,15.41146228,141.067709,0.188546573,8.560590336,2.035793103,0.141067709,0.608630879,34.87198064,2.134337362,14.63183794,1.053282735,-0.098544259,41.26388125,0.669354406,0.558477591,-0.046170892
38,4,o,2062.344828,0.697437018,14.0576777,183.2574839,0.101698838,9.689691828,2.062344828,0.183257484,0.492778794,34.87198064,2.134337362,14.63183794,0.960759527,-0.071992534,39.96019761,0.557036458,1.694497347,-0.033730625
48,5,o,2063,0.726599182,14.49618541,147.8146556,0.057897332,7.935186361,2.063,0.147814656,0.420116206,34.87198064,2.134337362,14.63183794,0.990728948,-0.071337362,41.63106653,0.700988995,0.740148745,-0.033423658
9,1,q,2137.5,1.174608196,13.11468651,151.4529061,0.613120375,8.44239743,2.1375,0.151452906,0.358605329,28.23414513,2.169292136,17.07755549,0.767948698,-0.031792136,67.30009221,2.912485853,0.838113806,-0.014655535
19,2,q,2155.633333,1.216783381,13.12947624,148.2410626,0.406523522,8.182189381,2.155633333,0.148241063,0.586671686,28.23414513,2.169292136,17.07755549,0.768814732,-0.013658803,69.71655231,3.120674274,0.75163036,-0.006296433
29,3,q,2153.466667,0.738504746,18.38582097,105.5859621,0.16465695,9.18061321,2.153466667,0.105585962,0.360692,28.23414513,2.169292136,17.07755549,1.076607304,-0.015825469,42.3132051,0.759758164,-0.39691896,-0.007295223
39,4,q,2168.7,0.634574474,17.15142208,148.999919,0.126849947,10.92975105,2.1687,0.148999919,0.571850586,28.23414513,2.169292136,17.07755549,1.004325361,-0.000592136,36.35843915,0.246729491,0.772063638,-0.000272963
49,5,q,2152.615385,0.694159975,18.37452954,94.45679517,0.080768456,7.965828254,2.152615385,0.094456795,0.555715197,28.23414513,2.169292136,17.07755549,1.075946118,-0.016676751,39.77243687,0.540860064,-0.696587626,-0.007687646
10,1,t,2219.3,0.507861851,15.56497594,121.4845385,0.156961055,16.11441054,2.2193,0.121484539,0.423121069,24.0708855,2.190998878,19.23537864,0.809184796,0.028301122,29.09834064,-0.378759191,0.03117286,0.012916995
20,2,t,2188.133333,0.520223746,18.06203628,125.7339099,0.121733362,12.39859487,2.188133333,0.12573391,0.232784863,24.0708855,2.190998878,19.23537864,0.939000818,-0.002865545,29.80662505,-0.317737446,0.145593223,-0.001307872
30,3,t,2175.066667,0.659542101,17.49319078,116.299534,0.147428167,11.11182093,2.175066667,0.116299534,0.608630879,24.0708855,2.190998878,19.23537864,0.909427941,-0.015932211,37.7889788,0.369976628,-0.108440782,-0.007271666
40,4,t,2126.233333,0.534017189,21.08956342,89.96998861,0.093667556,8.349898086,2.126233333,0.089969989,0.492778794,24.0708855,2.190998878,19.23537864,1.096394504,-0.064765545,30.59693112,-0.249649182,-0.817401265,-0.029559826
50,5,t,2187.333333,0.555951941,21.37795351,85.91067267,0.029985958,10.20982321,2.187333333,0.085910673,0.420116206,24.0708855,2.190998878,19.23537864,1.111387195,-0.003665545,31.85369983,-0.141373157,-0.926704127,-0.001673002
